time,cpu_percent_0,cpu_percent_1,cpu_percent_2,cpu_percent_3,virtual_memory,adc_voltage
2023-09-07 16:41:40.623437,0.0,0.0,0.0,0.0,22.0,0.4566389355143895
2023-09-07 16:41:40.733764,0.0,0.0,0.0,100.0,22.0,0.469514328440199
2023-09-07 16:41:40.844216,0.0,0.0,0.0,100.0,22.0,0.4291380962553789
2023-09-07 16:41:40.954665,0.0,0.0,0.0,0.0,22.0,0.47163939329203164
2023-09-07 16:41:41.065090,0.0,0.0,0.0,0.0,22.0,0.4497637256996368
2023-09-07 16:41:41.175458,0.0,0.0,0.0,0.0,22.0,0.4333882259590442
2023-09-07 16:41:41.286251,0.0,0.0,0.0,0.0,22.0,0.48426477858821376
2023-09-07 16:41:41.396571,0.0,0.0,0.0,0.0,22.0,0.43601330607013156
2023-09-07 16:41:41.506891,0.0,0.0,0.0,0.0,22.0,0.44613861507004
2023-09-07 16:41:41.617173,0.0,0.0,0.0,0.0,22.0,0.47138938566240424
2023-09-07 16:41:41.727512,0.0,0.0,0.0,0.0,22.0,0.42626300851466414
2023-09-07 16:41:41.837791,0.0,0.0,0.0,0.0,22.0,0.47713956114383377
2023-09-07 16:41:41.948061,0.0,0.0,0.0,0.0,22.0,0.4462636188848537
2023-09-07 16:41:42.058342,0.0,0.0,0.0,0.0,22.0,0.4323881954405347
2023-09-07 16:41:42.168620,0.0,0.0,0.0,0.0,22.0,0.4776395764030885
2023-09-07 16:41:42.278923,0.0,0.0,0.0,0.0,22.0,0.42801306192205574
2023-09-07 16:41:42.389174,0.0,0.0,0.0,0.0,22.0,0.46638923306985686
2023-09-07 16:41:42.499403,0.0,0.0,0.0,0.0,22.0,0.4550138859218116
2023-09-07 16:41:42.609614,0.0,0.0,0.0,0.0,22.0,0.41813776055177465
2023-09-07 16:41:42.719963,0.0,0.0,0.0,0.0,22.0,0.483764763328959
2023-09-07 16:41:42.830246,0.0,0.0,0.0,0.0,22.0,0.4337632374034852
2023-09-07 16:41:42.940488,0.0,0.0,0.0,0.0,22.0,0.4506387524033326
2023-09-07 16:41:43.050781,0.0,0.0,0.0,0.0,22.0,0.4748894924771874
2023-09-07 16:41:43.161081,0.0,0.0,0.0,0.0,22.0,0.420762840662862
2023-09-07 16:41:43.271330,0.0,0.0,0.0,0.0,22.0,0.481389690847499
2023-09-07 16:41:43.381570,0.0,0.0,0.0,0.0,22.0,0.44276351207007053
2023-09-07 16:41:43.491790,0.0,0.0,0.0,0.0,22.0,0.42951310769981993
2023-09-07 16:41:43.602098,0.0,0.0,0.0,0.0,22.0,0.48338975188451794
2023-09-07 16:41:43.712423,0.0,0.0,0.0,0.0,22.0,0.42951310769981993
2023-09-07 16:41:43.822775,0.0,0.0,0.0,0.0,22.0,0.46513919492172
2023-09-07 16:41:43.933068,0.0,0.0,0.0,0.0,22.0,0.45851399273659477
2023-09-07 16:41:44.043479,0.0,0.0,0.0,0.0,22.0,0.4168877224036378
2023-09-07 16:41:44.153848,0.0,0.0,0.0,100.0,22.0,0.48338975188451794
2023-09-07 16:41:44.264179,0.0,0.0,0.0,100.0,22.0,0.4333882259590442
2023-09-07 16:41:44.374500,0.0,0.0,0.0,100.0,22.0,0.44063844721823786
2023-09-07 16:41:44.484855,0.0,0.0,0.0,0.0,22.0,0.47588952299569687
2023-09-07 16:41:44.595179,0.0,0.0,0.0,0.0,22.0,0.4221378826258126
2023-09-07 16:41:44.705562,0.0,0.0,0.0,0.0,22.0,0.4696393322550127
2023-09-07 16:41:44.815968,0.0,0.0,0.0,0.0,22.0,0.44801367229224526
2023-09-07 16:41:44.926352,0.0,0.0,0.0,0.0,22.0,0.41763774529251996
2023-09-07 16:41:45.036663,0.0,0.0,0.0,0.0,22.0,0.47876461073641163
2023-09-07 16:41:45.146958,0.0,0.0,0.0,0.0,22.0,0.4292631000701926
2023-09-07 16:41:45.257171,0.0,0.0,0.0,0.0,22.0,0.4567639393292032
2023-09-07 16:41:45.367421,0.0,0.0,0.0,0.0,22.0,0.46176409192175055
2023-09-07 16:41:45.477721,0.0,0.0,0.0,0.0,22.0,0.41601269569994204
2023-09-07 16:41:45.587972,0.0,0.0,0.0,0.0,22.0,0.48151469466231267
2023-09-07 16:41:45.698194,0.0,0.0,0.0,0.0,22.0,0.4356382946256905
2023-09-07 16:41:45.808635,0.0,0.0,0.0,0.0,22.0,0.43526328318124946
2023-09-07 16:41:45.918987,0.0,0.0,0.0,0.0,22.0,0.4756395153660695
2023-09-07 16:41:46.029176,0.0,0.0,0.0,0.0,22.0,0.4231379131443221
2023-09-07 16:41:46.155018,7.7,0.0,0.0,0.0,22.0,0.4897649464400159
2023-09-07 16:41:46.266746,54.5,0.0,0.0,0.0,22.0,0.4683892941068758
2023-09-07 16:41:46.377257,100.0,0.0,0.0,0.0,22.0,0.42626300851466414
2023-09-07 16:41:46.487542,100.0,0.0,0.0,0.0,22.0,0.49814020203253273
2023-09-07 16:41:46.597828,100.0,0.0,0.0,0.0,22.0,0.4420134891811884
2023-09-07 16:41:46.708042,100.0,0.0,0.0,0.0,22.0,0.46513919492172
2023-09-07 16:41:46.818271,100.0,0.0,0.0,0.0,22.0,0.48151469466231267
2023-09-07 16:41:46.928464,100.0,0.0,0.0,0.0,22.0,0.42701303140354624
2023-09-07 16:41:47.038718,100.0,0.0,0.0,0.0,22.0,0.4946400952177496
2023-09-07 16:41:47.148984,100.0,0.0,0.0,0.0,22.0,0.44813867610705893
2023-09-07 16:41:47.259262,100.0,0.0,0.0,0.0,22.0,0.44476357310708947
2023-09-07 16:41:47.369521,100.0,0.0,0.0,0.0,22.0,0.4911399884029664
2023-09-07 16:41:47.480859,100.0,0.0,0.0,0.0,22.0,0.4432635273293253
2023-09-07 16:41:47.591192,100.0,0.0,0.0,0.0,22.0,0.47226441236610006
2023-09-07 16:41:47.701346,100.0,0.0,0.0,0.0,22.0,0.4756395153660695
2023-09-07 16:41:47.811339,100.0,0.0,0.0,0.0,22.0,0.4290130924405652
2023-09-07 16:41:47.921314,100.0,0.0,0.0,0.0,22.0,0.5011402935880612
2023-09-07 16:41:48.031299,100.0,0.0,0.0,0.0,22.0,0.4422634968108158
2023-09-07 16:41:48.141282,100.0,0.0,0.0,0.0,22.0,0.47588952299569687
2023-09-07 16:41:48.251315,100.0,0.0,0.0,0.0,22.0,0.4708893704031495
2023-09-07 16:41:48.361307,100.0,0.0,0.0,0.0,22.0,0.4283880733664968
2023-09-07 16:41:48.471322,100.0,0.0,0.0,0.0,22.0,0.49876522110660115
2023-09-07 16:41:48.581307,100.0,0.0,0.0,0.0,22.0,0.44138847010712
2023-09-07 16:41:48.691352,100.0,0.0,0.0,0.0,22.0,0.47788958403271586
2023-09-07 16:41:48.801334,100.0,0.0,0.0,0.0,22.0,0.47226441236610006
2023-09-07 16:41:48.911377,100.0,0.0,0.0,0.0,22.0,0.4305131382183294
2023-09-07 16:41:49.021329,100.0,0.0,0.0,0.0,22.0,0.4992652363658559
2023-09-07 16:41:49.131310,100.0,0.0,0.0,0.0,22.0,0.44138847010712
2023-09-07 16:41:49.241307,100.0,0.0,0.0,0.0,22.0,0.4800146488845485
2023-09-07 16:41:49.351313,100.0,0.0,0.0,0.0,22.0,0.4700143436994538
2023-09-07 16:41:49.461316,100.0,0.0,0.0,0.0,22.0,0.4300131229590747
2023-09-07 16:41:49.571294,100.0,0.0,0.0,0.0,22.0,0.4996402478102969
2023-09-07 16:41:49.681296,100.0,0.0,0.0,0.0,22.0,0.4383883785515916
2023-09-07 16:41:49.791298,100.0,0.0,0.0,0.0,22.0,0.4802646565141759
2023-09-07 16:41:49.901318,100.0,0.0,0.0,0.0,22.0,0.46576421399578843
2023-09-07 16:41:50.011354,100.0,0.0,0.0,0.0,22.0,0.4323881954405347
2023-09-07 16:41:50.121332,100.0,0.0,0.0,0.0,22.0,0.4960151371807001
2023-09-07 16:41:50.231321,100.0,0.0,0.0,0.0,22.0,0.43988842432935576
2023-09-07 16:41:50.341327,100.0,0.0,0.0,0.0,22.0,0.48151469466231267
2023-09-07 16:41:50.451313,100.0,0.0,0.0,0.0,22.0,0.46413916440321057
2023-09-07 16:41:50.561317,100.0,0.0,0.0,0.0,22.0,0.4356382946256905
2023-09-07 16:41:50.671308,100.0,0.0,0.0,0.0,22.0,0.4965151524399548
2023-09-07 16:41:50.783445,100.0,0.0,0.0,0.0,22.0,0.4510137638477737
2023-09-07 16:41:50.893678,100.0,0.0,0.0,0.0,22.0,0.4462636188848537
2023-09-07 16:41:51.003774,100.0,0.0,0.0,100.0,22.0,0.48913992736594747
2023-09-07 16:41:51.113848,100.0,0.0,0.0,100.0,22.0,0.43401324503311256
2023-09-07 16:41:51.223922,100.0,0.0,0.0,100.0,22.0,0.488514908291879
2023-09-07 16:41:51.333957,100.0,0.0,0.0,100.0,22.0,0.4531388286996063
2023-09-07 16:41:51.444054,100.0,0.0,0.0,100.0,22.0,0.4411384624774926
2023-09-07 16:41:51.554241,100.0,0.0,0.0,100.0,22.0,0.49251503036591693
2023-09-07 16:41:51.670361,100.0,0.0,0.0,0.0,22.0,0.5021403241065707
2023-09-07 16:41:51.782328,0.0,0.0,0.0,0.0,22.0,0.44213849299600205
2023-09-07 16:41:51.892611,0.0,0.0,0.0,0.0,22.0,0.469514328440199
2023-09-07 16:41:52.002715,0.0,0.0,0.0,0.0,22.0,0.4748894924771874
2023-09-07 16:41:52.112795,0.0,0.0,0.0,0.0,22.0,0.42863808099612416
2023-09-07 16:41:52.222859,0.0,0.0,0.0,0.0,22.0,0.4993902401806696
2023-09-07 16:41:52.332910,0.0,0.0,0.0,0.0,22.0,0.4450135807367168
2023-09-07 16:41:52.442985,0.0,0.0,0.0,0.0,22.0,0.46663924069948426
2023-09-07 16:41:52.553010,0.0,0.0,0.0,0.0,22.0,0.47963963744010746
2023-09-07 16:41:52.663036,0.0,0.0,0.0,0.0,22.0,0.42788805810724206
2023-09-07 16:41:52.773055,0.0,0.0,0.0,0.0,22.0,0.5003902706991791
2023-09-07 16:41:52.883086,0.0,0.0,0.0,0.0,22.0,0.44476357310708947
2023-09-07 16:41:52.993247,0.0,0.0,0.0,0.0,22.0,0.46676424451429793
2023-09-07 16:41:53.103282,0.0,0.0,0.0,0.0,22.0,0.4806396679586169
2023-09-07 16:41:53.213300,0.0,0.0,0.0,0.0,22.0,0.42788805810724206
2023-09-07 16:41:53.323355,0.0,0.0,0.0,0.0,22.0,0.49826520584734646
2023-09-07 16:41:53.433396,0.0,0.0,0.0,0.0,22.0,0.44451356547746207
2023-09-07 16:41:53.543420,0.0,0.0,0.0,0.0,22.0,0.4655142063661611
2023-09-07 16:41:53.653453,0.0,0.0,0.0,0.0,22.0,0.48113968321787165
2023-09-07 16:41:53.763609,0.0,0.0,0.0,0.0,22.0,0.42813806573686947
2023-09-07 16:41:53.873670,0.0,0.0,0.0,0.0,22.0,0.4991402325510422
2023-09-07 16:41:53.983707,0.0,0.0,0.0,0.0,22.0,0.4475136570329905
2023-09-07 16:41:54.093800,0.0,0.0,0.0,100.0,22.0,0.46276412244026
2023-09-07 16:41:54.203869,0.0,0.0,0.0,100.0,22.0,0.48501480147709586
2023-09-07 16:41:54.314012,0.0,0.0,0.0,100.0,22.0,0.4288880886257515
2023-09-07 16:41:54.424062,0.0,0.0,0.0,100.0,22.0,0.5003902706991791
2023-09-07 16:41:54.535402,0.0,0.0,0.0,0.0,22.0,0.4590140079958495
2023-09-07 16:41:54.645517,0.0,0.0,0.0,0.0,22.0,0.4347632679219947
2023-09-07 16:41:54.755575,0.0,0.0,0.0,0.0,22.0,0.4940150761436811
2023-09-07 16:41:54.865616,0.0,0.0,0.0,0.0,22.0,0.4372633442182684
2023-09-07 16:41:54.975668,0.0,0.0,0.0,0.0,22.0,0.4835147556993316
2023-09-07 16:41:55.085713,0.0,0.0,0.0,0.0,22.0,0.46251411481063265
2023-09-07 16:41:55.195793,0.0,0.0,0.0,0.0,22.0,0.4362633136997589
2023-09-07 16:41:55.305829,0.0,0.0,0.0,0.0,22.0,0.49576512955107277
2023-09-07 16:41:55.415869,0.0,100.0,0.0,0.0,22.0,0.4376383556627094
2023-09-07 16:41:55.525922,0.0,100.0,0.0,0.0,22.0,0.48151469466231267
2023-09-07 16:41:55.635964,0.0,100.0,0.0,0.0,22.0,0.4616390881069369
2023-09-07 16:41:55.746001,0.0,100.0,0.0,0.0,22.0,0.43113815729239785
2023-09-07 16:41:55.858883,0.0,0.0,0.0,0.0,22.0,0.4866398510696738
2023-09-07 16:41:55.969056,0.0,0.0,0.0,0.0,22.0,0.45726395458845787
2023-09-07 16:41:56.079040,0.0,0.0,0.0,0.0,22.0,0.44151347392193363
2023-09-07 16:41:56.189029,0.0,0.0,0.0,0.0,22.0,0.4907649769585254
2023-09-07 16:41:56.299027,0.0,0.0,0.0,0.0,22.0,0.43413824884792623
2023-09-07 16:41:56.408996,0.0,0.0,0.0,0.0,22.0,0.4886399121066927
2023-09-07 16:41:56.518997,0.0,0.0,0.0,0.0,22.0,0.45926401562547686
2023-09-07 16:41:56.629038,0.0,0.0,0.0,0.0,22.0,0.4432635273293253
2023-09-07 16:41:56.739014,0.0,0.0,0.0,0.0,22.0,0.49176500747703483
2023-09-07 16:41:56.849007,0.0,0.0,0.0,0.0,22.0,0.43526328318124946
2023-09-07 16:41:56.958993,0.0,0.0,0.0,0.0,22.0,0.49138999603259376
2023-09-07 16:41:57.068967,0.0,0.0,0.0,0.0,22.0,0.4525138096255379
2023-09-07 16:41:57.185240,0.0,0.0,0.0,0.0,22.1,0.4746394848475601
2023-09-07 16:41:57.297466,100.0,0.0,0.0,0.0,22.1,0.4276380504776147
2023-09-07 16:41:57.408033,100.0,0.0,0.0,0.0,22.1,0.49589013336588644
2023-09-07 16:41:57.518263,100.0,0.0,0.0,0.0,22.1,0.44701364177373576
2023-09-07 16:41:57.628341,100.0,0.0,0.0,0.0,22.1,0.45976403088473156
2023-09-07 16:41:57.738377,100.0,0.0,0.0,0.0,22.1,0.48188970610675375
2023-09-07 16:41:57.848402,100.0,0.0,0.0,0.0,22.1,0.42576299325540945
2023-09-07 16:41:57.958432,100.0,0.0,0.0,0.0,22.1,0.4966401562547685
2023-09-07 16:41:58.068418,100.0,0.0,0.0,0.0,22.1,0.4436385387737663
2023-09-07 16:41:58.178408,100.0,0.0,0.0,0.0,22.1,0.4587640003662221
2023-09-07 16:41:58.288380,100.0,0.0,0.0,0.0,22.1,0.4810146794030579
2023-09-07 16:41:58.398362,100.0,0.0,0.0,0.0,22.1,0.42551298562578205
2023-09-07 16:41:58.508355,100.0,0.0,0.0,0.0,22.1,0.4960151371807001
2023-09-07 16:41:58.618346,100.0,0.0,0.0,0.0,22.1,0.4428885158848842
2023-09-07 16:41:58.728364,100.0,0.0,0.0,0.0,22.1,0.46451417584765164
2023-09-07 16:41:58.838365,100.0,0.0,0.0,0.0,22.1,0.47863960692159796
2023-09-07 16:41:58.948369,100.0,0.0,0.0,0.0,22.1,0.42688802758873257
2023-09-07 16:41:59.058369,100.0,0.0,0.0,0.0,22.1,0.4993902401806696
2023-09-07 16:41:59.168344,100.0,0.0,0.0,0.0,22.1,0.44376354258858003
2023-09-07 16:41:59.278327,100.0,0.0,0.0,0.0,22.1,0.46638923306985686
2023-09-07 16:41:59.388335,100.0,0.0,0.0,0.0,22.1,0.4782645954771569
2023-09-07 16:41:59.498308,100.0,0.0,0.0,0.0,22.1,0.4256379894405958
2023-09-07 16:41:59.608302,100.0,0.0,0.0,0.0,22.1,0.49839020966216013
2023-09-07 16:41:59.718294,100.0,0.0,0.0,0.0,22.1,0.44338853114413895
2023-09-07 16:41:59.828268,100.0,0.0,0.0,0.0,22.1,0.47026435132908107
2023-09-07 16:41:59.938251,100.0,0.0,0.0,0.0,22.1,0.4745144810327464
2023-09-07 16:42:00.048266,100.0,0.0,0.0,0.0,22.1,0.4283880733664968
2023-09-07 16:42:00.158237,100.0,0.0,0.0,0.0,22.1,0.497640186773278
2023-09-07 16:42:00.268221,100.0,0.0,0.0,0.0,22.1,0.4422634968108158
2023-09-07 16:42:00.378253,100.0,0.0,0.0,0.0,22.1,0.4700143436994538
2023-09-07 16:42:00.488290,100.0,0.0,0.0,0.0,22.1,0.47301443525498216
2023-09-07 16:42:00.598262,100.0,0.0,0.0,0.0,22.1,0.42963811151463366
2023-09-07 16:42:00.708307,100.0,0.0,0.0,0.0,22.1,0.4975151829584643
2023-09-07 16:42:00.818293,100.0,0.0,0.0,0.0,22.1,0.4407634510330516
2023-09-07 16:42:00.928446,100.0,0.0,0.0,0.0,22.1,0.4810146794030579
2023-09-07 16:42:01.038645,100.0,0.0,0.0,0.0,22.1,0.4753895077364421
2023-09-07 16:42:01.148613,100.0,0.0,0.0,0.0,22.1,0.42576299325540945
2023-09-07 16:42:01.258599,100.0,0.0,0.0,0.0,22.1,0.49476509903256327
2023-09-07 16:42:01.368549,100.0,0.0,0.0,0.0,22.1,0.4405134434034242
2023-09-07 16:42:01.478539,100.0,0.0,0.0,0.0,22.1,0.471889400921659
2023-09-07 16:42:01.589776,100.0,0.0,0.0,0.0,22.1,0.4873898739585559
2023-09-07 16:42:01.699910,100.0,0.0,0.0,0.0,22.1,0.42963811151463366
2023-09-07 16:42:01.810008,100.0,0.0,0.0,0.0,22.1,0.49088998077333906
2023-09-07 16:42:01.920137,100.0,0.0,0.0,0.0,22.1,0.44913870662556843
2023-09-07 16:42:02.030180,100.0,0.0,0.0,0.0,22.1,0.44701364177373576
2023-09-07 16:42:02.140172,100.0,0.0,0.0,0.0,22.1,0.4886399121066927
2023-09-07 16:42:02.250183,100.0,0.0,0.0,0.0,22.1,0.4302631305887021
2023-09-07 16:42:02.360170,100.0,0.0,0.0,0.0,22.1,0.4946400952177496
2023-09-07 16:42:02.470172,100.0,0.0,0.0,0.0,22.1,0.4482636799218726
2023-09-07 16:42:02.580185,100.0,0.0,0.0,0.0,22.1,0.45013873714407787
2023-09-07 16:42:02.696398,91.7,100.0,0.0,0.0,22.2,0.4357632984405042
2023-09-07 16:42:02.808497,0.0,0.0,0.0,0.0,22.2,0.500015259254738
2023-09-07 16:42:02.918980,0.0,0.0,0.0,0.0,22.2,0.44613861507004
2023-09-07 16:42:03.029415,0.0,0.0,0.0,0.0,22.2,0.4628891262550737
2023-09-07 16:42:03.139890,0.0,0.0,0.0,0.0,22.2,0.4847647938474685
2023-09-07 16:42:03.250205,0.0,0.0,0.0,0.0,22.2,0.43063814203314316
2023-09-07 16:42:03.360210,0.0,0.0,0.0,0.0,22.2,0.4965151524399548
2023-09-07 16:42:03.470203,0.0,0.0,0.0,0.0,22.2,0.44838868373668633
2023-09-07 16:42:03.580179,0.0,0.0,0.0,0.0,22.2,0.4547638782921842
2023-09-07 16:42:03.690170,0.0,0.0,0.0,0.0,22.2,0.48326474806970426
2023-09-07 16:42:03.800193,0.0,0.0,0.0,0.0,22.2,0.429888119144261
2023-09-07 16:42:03.910216,0.0,0.0,0.0,0.0,22.2,0.4993902401806696
2023-09-07 16:42:04.020208,0.0,0.0,0.0,0.0,22.2,0.4463886226996674
2023-09-07 16:42:04.130170,0.0,0.0,0.0,0.0,22.2,0.46076406140324105
2023-09-07 16:42:04.240173,0.0,0.0,0.0,0.0,22.2,0.4841397747734001
2023-09-07 16:42:04.350167,0.0,0.0,0.0,0.0,22.2,0.42863808099612416
2023-09-07 16:42:04.460172,0.0,0.0,0.0,0.0,22.2,0.49814020203253273
2023-09-07 16:42:04.570179,0.0,0.0,0.0,0.0,22.2,0.44663863032929474
2023-09-07 16:42:04.680225,9.1,0.0,0.0,0.0,22.2,0.45888900418103584
2023-09-07 16:42:04.790389,0.0,0.0,0.0,0.0,22.2,0.48501480147709586
2023-09-07 16:42:04.900470,0.0,0.0,0.0,0.0,22.2,0.4291380962553789
2023-09-07 16:42:05.010519,0.0,0.0,0.0,0.0,22.2,0.4946400952177496
2023-09-07 16:42:05.120483,0.0,0.0,0.0,0.0,22.2,0.4451385845515305
2023-09-07 16:42:05.230444,0.0,0.0,0.0,0.0,22.2,0.46101406903286846
2023-09-07 16:42:05.340402,0.0,0.0,0.0,0.0,22.2,0.4831397442548906
2023-09-07 16:42:05.450345,0.0,0.0,0.0,0.0,22.2,0.4273880428479873
2023-09-07 16:42:05.560325,0.0,0.0,0.0,0.0,22.2,0.49714017151402323
2023-09-07 16:42:05.670298,0.0,0.0,0.0,0.0,22.2,0.4436385387737663
2023-09-07 16:42:05.780247,0.0,0.0,0.0,0.0,22.2,0.46501419110690634
2023-09-07 16:42:05.890209,0.0,0.0,0.0,0.0,22.2,0.4745144810327464
2023-09-07 16:42:06.003705,0.0,0.0,0.0,100.0,22.2,0.44313852351451155
2023-09-07 16:42:06.113992,0.0,0.0,0.0,100.0,22.2,0.45826398510696736
2023-09-07 16:42:06.224108,0.0,0.0,0.0,100.0,22.2,0.4826397289956359
2023-09-07 16:42:06.334224,0.0,0.0,0.0,100.0,22.2,0.42588799707022307
2023-09-07 16:42:06.444343,0.0,0.0,0.0,100.0,22.2,0.4965151524399548
